Route ID,Departure City,Arrival City,Departure Time,Arrival Time,Train Type,Days of Operation,First Class ticket rate (in euro),Second Class ticket rate (in euro)
R00167,Arezzo,Perugia,14:15,18:40,RE,Daily,51,40
R00169,Ashford,Lille,10:40,13:02,RE,Fri-Sun,51,40
R00170,Ashford,Lille,12:30,13:36,Italo,Mon-Fri,39,26
R00174,Ashford,London,12:00,13:37,Italo,"Tue,Thu",76,50
R00178,Ashford,Paris,11:05,13:12,InterCity,"Tue,Thu",40,27
R00182,Augsburg,Nuremberg,15:15,17:33,TGV,"Mon,Wed,Fri",81,48
R00185,Augsburg,Regensburg,18:05,21:20,Intercités,"Tue,Thu",73,55
R00186,Augsburg,Regensburg,15:25,16:46,AVE,"Tue,Thu",53,32
R00189,Augsburg,Vienna,07:20,08:34,TGV,"Tue,Thu",60,40
R00190,Avignon,Lyon,11:15,14:08,EuroCity,"Mon,Wed,Fri",88,58
R00191,Avignon,Lyon,06:10,10:12,InterCity,"Mon,Wed,Fri",83,60
R00193,Avignon,Nîmes,13:15,16:44,Frecciarossa,"Tue,Thu",94,66
R00195,Badajoz,Cádiz,16:25,18:39,Eurostar,"Tue,Thu",95,57
R00196,Badajoz,Cádiz,09:55,11:26,EuroCity,Fri-Sun,40,29
R00198,Badajoz,Seville,11:15,12:23,AVE,"Tue,Thu",56,34
R00199,Barcelona,Perpignan,17:35,19:30,ICE,Mon-Fri,58,40
R00204,Barcelona,Toulouse,14:10,15:36,Eurostar,Mon-Fri,62,43
R00206,Bari,Brindisi,13:15,15:45,Eurostar,"Tue,Thu",118,70
R00207,Bari,Brindisi,11:40,12:40,AVE,Fri-Sun,50,30
R00209,Bari,Naples,08:55,11:36,InterCity,Mon-Fri,49,35
R00210,Bari,Naples,12:15,15:04,Thalys,Sat-Sun,103,68
R00211,Bari,Salerno,12:20,13:30,AVE,Sat-Sun,52,38
R00212,Bari,Salerno,15:30,19:47,Intercités,"Tue,Thu",93,67
R00214,Bari,Taranto,15:15,16:51,Eurostar,Mon-Fri,64,42
R00218,Basel,Bern,15:15,17:29,Frecciarossa,"Tue,Thu",62,42
R00223,Basel,Lausanne,19:45,22:18,TGV,Fri-Sun,100,65
R00225,Basel,Strasbourg,06:00,09:21,EuroCity,"Mon,Wed,Fri",100,66
R00236,Belgrade,Mostar,12:20,14:44,TGV,"Mon,Wed,Fri",90,54
R00238,Belgrade,Niš,09:05,11:53,EuroCity,"Tue,Thu",56,40
R00240,Belgrade,Novi Sad,12:10,14:25,Frecciarossa,"Mon,Wed,Fri",71,45
R00247,Belgrade,Sofia,15:40,20:29,TER,"Tue,Thu",81,61
R00248,Belgrade,Sofia,19:05,05:30 (+1d),Nightjet,Mon-Fri,379,198
R00249,Bergamo,Brescia,10:30,12:04,RJX,Sat-Sun,68,49
R00250,Bergamo,Brescia,19:35,23:16,Intercités,"Tue,Thu",86,56
R00253,Bergamo,Como,09:55,13:30,ICE,Sat-Sun,117,73
R00255,Bergamo,Milan,12:50,15:37,InterCity,"Tue,Thu",59,41
R00257,Bergamo,Verona,14:30,16:56,Frecciarossa,Fri-Sun,92,57
R00258,Bergamo,Verona,08:00,10:17,IC,Fri-Sun,49,36
R00260,Bergen,Drammen,17:00,19:59,Frecciarossa,Mon-Fri,96,60
R00262,Bergen,Helsinki,19:45,22:45,EuroCity,"Tue,Thu",72,48
R00263,Bergen,Helsinki,10:10,11:59,Italo,Mon-Fri,77,46
R00267,Bergen,Stavanger,09:00,13:07,IC,Sat-Sun,112,75
R00270,Bergen,Trondheim,15:35,17:51,IC,"Tue,Thu",53,39
R00271,Bergen,Trondheim,09:10,11:11,Railjet,"Mon,Wed,Fri",84,51
R00274,Berlin,Amsterdam,05:10,14:10,RE,Mon-Fri,115,89
R00275,Berlin,Dresden,06:45,08:03,Eurostar,"Mon,Wed,Fri",58,35
R00276,Berlin,Dresden,08:10,09:56,Railjet,"Tue,Thu",48,29
R00279,Berlin,Leipzig,19:55,05:02 (+1d),Nightjet,Fri-Sun,265,160
R00280,Berlin,Leipzig,18:15,20:20,TGV,"Mon,Wed,Fri",79,55
R00284,Berlin,Prague,10:45,16:02,Thalys,"Mon,Wed,Fri",205,138
R00291,Bern,Basel,12:35,15:20,Intercités,"Mon,Wed,Fri",57,44
R00292,Bern,Basel,14:45,16:45,Railjet,Mon-Fri,50,34
R00294,Bern,Geneva,15:10,18:01,RJX,"Mon,Wed,Fri",100,62
R00295,Bern,Geneva,09:30,12:44,Railjet,Sat-Sun,87,61
R00296,Bern,Lausanne,17:25,19:49,RJX,Fri-Sun,92,59
R00299,Bern,Zurich,12:40,14:14,AVE,"Mon,Wed,Fri",44,31
R00300,Bern,Zurich,17:25,21:04,RegioExpress,"Tue,Thu",55,40
R00305,Besançon,Nancy,07:10,09:12,Thalys,Sat-Sun,82,56
R00307,Besançon,Paris,08:00,09:21,Eurostar,Sat-Sun,74,49
R00314,Bilbao,Oviedo,07:05,08:44,EuroCity,"Tue,Thu",42,30
R00315,Bilbao,Oviedo,09:45,11:45,InterCity,Fri-Sun,42,32
R00317,Bilbao,San Sebastián,15:55,19:20,Intercités,"Mon,Wed,Fri",81,60
R00318,Bilbao,San Sebastián,15:25,18:41,Thalys,Fri-Sun,109,70
R00320,Bilbao,Santander,13:05,14:52,TGV,Mon-Fri,43,30
R00321,Bilbao,Santander,10:55,14:20,EuroCity,"Mon,Wed,Fri",81,55
R00323,Bilbao,Zaragoza,15:50,19:29,ICE,Sat-Sun,108,75
R00324,Bilbao,Zaragoza,15:40,17:52,EuroCity,Fri-Sun,46,35
R00330,Birmingham,Brussels,18:15,20:34,AVE,"Tue,Thu",78,57
R00332,Birmingham,Leeds,11:15,13:01,ICE,Fri-Sun,52,37
R00333,Birmingham,Leeds,12:20,15:18,RJX,Mon-Fri,106,73
R00335,Birmingham,Manchester,13:10,17:27,RE,"Tue,Thu",50,40
R00339,Bochum,Bremen,08:20,11:18,Thalys,Fri-Sun,118,74
R00341,Bochum,Dortmund,11:05,12:45,Frecciarossa,"Tue,Thu",85,54
R00342,Bochum,Dortmund,17:20,18:46,AVE,Mon-Fri,64,40
R00344,Bochum,Essen,13:00,14:23,Thalys,Mon-Fri,57,36
R00348,Bochum,Hannover,15:30,18:05,InterCity,"Tue,Thu",75,55
R00350,Bologna,Bolzano,06:50,11:36,RegioExpress,Fri-Sun,63,53
R00351,Bologna,Bolzano,09:10,11:48,ICE,"Mon,Wed,Fri",75,52
R00357,Bologna,Milan,18:10,20:21,TGV,"Tue,Thu",96,63
R00358,Bologna,Milan,18:20,21:55,RegioExpress,Fri-Sun,71,52
R00360,Bologna,Modena,09:20,12:37,Intercités,Sat-Sun,72,47
R00361,Bologna,Modena,15:55,17:23,Frecciarossa,"Mon,Wed,Fri",59,42
R00362,Bologna,Parma,08:25,11:24,AVE,"Mon,Wed,Fri",102,66
R00366,Bologna,Trento,19:30,21:27,AVE,Fri-Sun,79,48
R00367,Bologna,Trento,15:45,18:19,Italo,Mon-Fri,97,61
R00369,Bolzano,Bologna,08:45,12:54,RegioExpress,"Mon,Wed,Fri",64,53
R00372,Bolzano,Modena,19:45,04:06 (+1d),Nightjet,Daily,293,173
R00374,Bolzano,Trento,14:35,18:16,Intercités,Sat-Sun,78,56
R00377,Bolzano,Venice,05:00,06:29,Railjet,Mon-Fri,66,43
R00378,Bolzano,Venice,15:50,19:39,EuroCity,Mon-Fri,105,69
R00384,Bonn,Dortmund,13:35,17:43,TER,Mon-Fri,64,51
R00386,Bonn,Düsseldorf,06:50,09:36,Railjet,Daily,90,66
R00388,Bonn,Heidelberg,06:55,08:53,RJX,Fri-Sun,59,44
R00389,Bonn,Heidelberg,19:20,22:15,Italo,Fri-Sun,103,66
R00390,Bordeaux,La Rochelle,15:45,18:03,RE,"Tue,Thu",39,28
R00391,Bordeaux,La Rochelle,07:40,10:45,Railjet,"Mon,Wed,Fri",107,64
R00399,Bordeaux,Madrid,17:10,19:50,ICE,Sat-Sun,120,86
R00400,Bordeaux,Paris,15:20,18:30,Eurostar,"Tue,Thu",118,73
R00406,Bordeaux,Tours,12:35,15:57,InterCity,"Tue,Thu",91,70
R00407,Bordeaux,Tours,10:45,16:53,RegioExpress,Sat-Sun,96,78
R00409,Bratislava,Brno,12:55,15:14,Frecciarossa,Fri-Sun,120,71
R00410,Bratislava,Brno,12:25,14:21,TGV,"Tue,Thu",90,60
R00412,Bratislava,Budapest,15:25,18:14,InterCity,Sat-Sun,55,39
R00413,Bratislava,Budapest,08:20,10:02,ICE,Fri-Sun,57,34
R00416,Bratislava,Košice,08:05,10:29,RJX,"Tue,Thu",100,66
R00417,Bratislava,Košice,07:50,10:53,EuroCity,Fri-Sun,72,48
R00421,Bratislava,Vienna,10:55,12:46,Eurostar,"Tue,Thu",68,50
R00422,Bratislava,Vienna,08:00,10:27,EuroCity,Fri-Sun,62,41
R00424,Brașov,Bucharest,06:55,10:45,Frecciarossa,"Mon,Wed,Fri",116,82
R00427,Brașov,Burgas,15:30,17:30,ICE,Fri-Sun,74,48
R00429,Brașov,Cluj-Napoca,09:30,12:02,Intercités,"Tue,Thu",54,36
R00430,Brașov,Cluj-Napoca,15:45,18:18,IC,Daily,75,52
R00433,Brașov,Timișoara,21:35,05:21 (+1d),Nightjet,"Mon,Wed,Fri",298,153
R00436,Bremen,Bochum,08:45,12:48,InterCity,Fri-Sun,79,55
R00437,Bremen,Bochum,14:10,17:32,ICE,"Tue,Thu",136,83
R00438,Bremen,Hamburg,12:55,15:22,EuroCity,Sat-Sun,50,33
R00441,Bremen,Hannover,10:30,12:42,EuroCity,Sat-Sun,50,36
R00444,Bremen,Kiel,12:15,14:14,Frecciarossa,"Tue,Thu",90,54
R00445,Bremen,Kiel,19:05,07:30 (+1d),Nightjet,Mon-Fri,353,231
R00447,Brescia,Bergamo,16:35,17:49,Railjet,"Mon,Wed,Fri",61,38
R00448,Brescia,Bergamo,14:50,18:09,RJX,Sat-Sun,120,73
R00449,Brescia,Como,12:45,15:07,Frecciarossa,"Mon,Wed,Fri",68,47
R00453,Brescia,Verona,11:20,15:39,TER,"Tue,Thu",64,52
R00454,Brescia,Verona,17:45,19:47,RegioExpress,Mon-Fri,33,27
R00458,Brescia,Vicenza,18:10,19:14,Italo,Sat-Sun,39,28
R00460,Brest,Nantes,15:15,17:36,Eurostar,"Tue,Thu",94,68
R00461,Brest,Nantes,18:55,21:34,RJX,Sat-Sun,76,56
R00463,Brest,Rennes,17:35,20:55,AVE,Mon-Fri,96,70
R00464,Brest,Rennes,17:45,19:07,TGV,Sat-Sun,50,34
R00467,Brighton,Dublin,12:05,14:25,AVE,"Tue,Thu",74,51
R00468,Brighton,Dublin,06:10,07:04,TGV,Mon-Fri,43,29
R00470,Brighton,Portsmouth,10:30,12:12,Thalys,"Tue,Thu",85,57
R00472,Brighton,Reading,12:40,15:53,EuroCity,Fri-Sun,65,45
R00476,Brighton,Southampton,13:35,16:44,AVE,Fri-Sun,92,58
R00478,Brindisi,Bari,15:55,17:30,Thalys,Mon-Fri,66,41
R00479,Brindisi,Bari,17:25,19:38,IC,Mon-Fri,70,46
R00481,Brindisi,Reggio Calabria,19:45,06:49 (+1d),Nightjet,"Tue,Thu",443,234
R00483,Brindisi,Salerno,11:30,13:28,IC,Sat-Sun,37,29
R00484,Brindisi,Salerno,09:20,13:06,Intercités,"Mon,Wed,Fri",73,49
R00487,Brindisi,Taranto,18:35,22:27,TER,"Tue,Thu",46,35
R00488,Brindisi,Taranto,09:55,12:36,AVE,Mon-Fri,101,73
R00490,Bristol,Cardiff,15:30,18:30,EuroCity,"Tue,Thu",83,55
R00491,Bristol,Cardiff,17:05,19:13,Thalys,"Mon,Wed,Fri",98,59
R00493,Bristol,Edinburgh,09:10,13:54,RegioExpress,"Tue,Thu",74,54
R00494,Bristol,Edinburgh,08:10,11:17,TGV,Sat-Sun,87,63
R00497,Bristol,Glasgow,19:30,20:45,Thalys,Daily,49,32
R00498,Bristol,Swansea,08:00,11:24,Railjet,"Mon,Wed,Fri",117,69
R00499,Bristol,Swansea,06:45,09:06,RE,"Tue,Thu",51,37
R00501,Brno,Bratislava,19:55,23:05,Italo,"Mon,Wed,Fri",116,70
R00503,Brno,Ostrava,16:15,19:15,Railjet,Sat-Sun,113,80
R00506,Brno,Plzeň,14:30,15:19,TGV,Sat-Sun,62,37
R00509,Brno,České Budějovice,15:20,16:58,Frecciarossa,Fri-Sun,52,35
R00511,Bruges,Amsterdam,09:25,12:56,InterCity,Fri-Sun,63,45
R00512,Bruges,Amsterdam,13:00,15:48,TGV,Fri-Sun,99,60
R00513,Bruges,Antwerp,07:20,09:06,Italo,"Mon,Wed,Fri",61,45
R00516,Bruges,Ghent,12:40,14:49,Thalys,Daily,52,37
R00520,Bruges,Liège,12:15,15:00,Italo,Daily,90,59
R00521,Bruges,Liège,15:55,19:18,InterCity,Mon-Fri,78,50
R00523,Brussels,Amsterdam,17:20,19:04,TER,Fri-Sun,26,21
R00524,Brussels,Amsterdam,13:05,14:25,InterCity,"Mon,Wed,Fri",36,24
R00525,Brussels,Antwerp,09:20,11:14,Thalys,"Tue,Thu",88,55
R00526,Brussels,Antwerp,12:55,15:15,Italo,Mon-Fri,74,48
R00528,Brussels,Birmingham,15:40,17:28,ICE,Mon-Fri,62,43
R00529,Brussels,Birmingham,05:50,08:37,Italo,Mon-Fri,90,66
R00532,Brussels,Cologne,09:20,12:30,RegioExpress,"Mon,Wed,Fri",48,35
R00533,Brussels,Cologne,12:15,16:11,TER,Mon-Fri,53,41
R00535,Brussels,Ghent,18:35,20:04,InterCity,Fri-Sun,43,30
R00536,Brussels,Ghent,17:05,18:37,Intercités,Sat-Sun,43,31
R00539,Brussels,Lille,16:40,19:20,Eurostar,"Mon,Wed,Fri",75,56
R00540,Brussels,Lille,15:15,17:21,ICE,"Tue,Thu",105,65
R00542,Brussels,London,09:45,18:32,RegioExpress,Daily,106,85
R00543,Brussels,London,11:35,15:30,AVE,Daily,136,94
R00545,Brussels,Paris,12:05,13:38,Intercités,Fri-Sun,33,22
R00546,Brussels,Paris,15:10,17:46,InterCity,Sat-Sun,53,37
R00548,Bucharest,Brașov,08:20,10:07,Italo,Fri-Sun,51,38
R00551,Bucharest,Burgas,12:00,14:08,ICE,Fri-Sun,52,34
R00552,Bucharest,Burgas,09:05,12:43,Intercités,"Tue,Thu",79,50
R00557,Bucharest,Sofia,20:35,06:08 (+1d),Nightjet,"Mon,Wed,Fri",321,194
R00558,Bucharest,Sofia,07:50,12:53,TGV,Mon-Fri,147,96
R00560,Bucharest,Varna,15:55,18:09,TER,Fri-Sun,48,36
R00561,Bucharest,Varna,10:35,14:03,Railjet,"Tue,Thu",112,79
R00567,Budapest,Bratislava,13:00,15:03,Railjet,Mon-Fri,79,52
R00568,Budapest,Bratislava,07:55,11:07,ICE,Sat-Sun,117,78
R00570,Budapest,Debrecen,18:10,19:50,ICE,Fri-Sun,70,42
R00571,Budapest,Debrecen,08:55,10:25,Frecciarossa,"Tue,Thu",58,41
R00574,Budapest,Košice,12:05,15:25,TGV,Mon-Fri,90,54
R00582,Budapest,Zagreb,08:40,12:03,IC,Sat-Sun,71,47
R00587,Burgas,Brașov,15:00,17:21,RegioExpress,"Mon,Wed,Fri",37,29
R00588,Burgas,Bucharest,11:55,13:02,Frecciarossa,Fri-Sun,61,37
R00593,Burgas,Varna,17:30,18:24,Thalys,Daily,40,28
R00601,Burgos,Salamanca,14:50,16:30,Railjet,"Tue,Thu",44,27
R00606,Calais,Amiens,16:35,19:28,Italo,Daily,81,51
R00607,Calais,Amiens,17:05,18:16,TGV,"Tue,Thu",51,35
R00609,Calais,Antwerp,13:50,15:51,ICE,Mon-Fri,76,52
R00610,Calais,Antwerp,16:30,19:29,Italo,Sat-Sun,103,69
R00612,Calais,Brussels,15:45,18:38,AVE,Fri-Sun,67,46
R00614,Calais,Lille,06:30,09:08,ICE,"Tue,Thu",82,56
R00615,Calais,Lille,09:45,12:29,Italo,Daily,105,70
R00617,Cambridge,Derby,11:45,13:52,Intercités,"Tue,Thu",49,36
R00620,Cambridge,Leicester,07:05,09:51,Frecciarossa,Mon-Fri,120,79
R00622,Cambridge,Oxford,09:55,14:29,EuroCity,Mon-Fri,108,71
R00623,Cambridge,Oxford,11:25,14:27,Eurostar,Fri-Sun,120,87
R00624,Cambridge,Southampton,05:35,06:58,Italo,"Mon,Wed,Fri",60,40
R00625,Cambridge,Southampton,17:20,20:20,EuroCity,Fri-Sun,54,35
R00626,Cardiff,Bristol,11:50,14:55,IC,Fri-Sun,82,61
R00627,Cardiff,Bristol,18:35,19:36,AVE,Fri-Sun,71,44
R00629,Cardiff,Exeter,13:00,14:56,ICE,Sat-Sun,72,44
R00630,Cardiff,Exeter,15:05,17:17,Intercités,Fri-Sun,60,42
R00632,Cardiff,Glasgow,06:35,09:50,TGV,Fri-Sun,138,89
R00633,Cardiff,Glasgow,13:45,15:42,Italo,Daily,50,31
R00635,Cardiff,Swansea,17:50,21:40,TER,Mon-Fri,73,60
R00638,Cartagena,Alicante,12:00,14:08,RJX,Fri-Sun,75,53
R00639,Cartagena,Alicante,21:00,07:03 (+1d),Nightjet,"Tue,Thu",413,230
R00642,Cartagena,Almería,09:15,11:27,AVE,Mon-Fri,82,59
R00644,Cartagena,Granada,17:25,21:08,Intercités,Mon-Fri,96,61
R00648,Cartagena,Murcia,15:20,17:41,IC,Mon-Fri,48,35
R00649,Cartagena,Murcia,07:25,10:14,AVE,Mon-Fri,111,72
R00651,Catania,Messina,19:25,20:32,ICE,Daily,76,45
R00654,Catania,Palermo,13:05,15:32,ICE,Daily,122,85
R00658,Chambéry,Annecy,09:25,13:05,IC,"Mon,Wed,Fri",84,57
R00660,Chambéry,Dijon,11:05,13:03,TGV,"Mon,Wed,Fri",52,38
R00661,Chambéry,Dijon,14:15,17:52,RegioExpress,"Tue,Thu",36,29
R00666,Chambéry,Lyon,17:50,19:32,Italo,Sat-Sun,56,37
R00667,Chambéry,Lyon,09:20,11:25,Frecciarossa,"Tue,Thu",78,53
R00670,Clermont-Ferrand,Grenoble,09:40,12:00,ICE,Sat-Sun,56,42
R00675,Clermont-Ferrand,Limoges,18:10,20:57,Italo,"Mon,Wed,Fri",72,53
R00678,Clermont-Ferrand,Lyon,19:05,06:49 (+1d),Nightjet,Mon-Fri,357,219
R00681,Cluj-Napoca,Brașov,20:00,08:12 (+1d),Nightjet,Daily,378,229
R00683,Cluj-Napoca,Bucharest,09:50,14:28,TER,"Tue,Thu",56,45
R00686,Cluj-Napoca,Iași,17:35,20:30,Eurostar,Daily,91,56
R00687,Cluj-Napoca,Iași,05:45,08:22,InterCity,Mon-Fri,66,44
R00689,Cluj-Napoca,Timișoara,18:45,02:11 (+1d),Nightjet,Mon-Fri,305,167
R00692,Cologne,Bonn,09:55,14:23,RegioExpress,"Mon,Wed,Fri",51,43
R00696,Cologne,Brussels,09:25,12:52,RE,Fri-Sun,58,42
R00705,Cologne,Heidelberg,09:10,10:28,ICE,Mon-Fri,52,32
R00707,Cologne,Würzburg,15:50,17:42,AVE,Mon-Fri,71,46
R00708,Cologne,Würzburg,09:15,13:11,RE,Daily,38,28
R00711,Como,Bergamo,10:40,14:50,RegioExpress,Fri-Sun,50,39
R00712,Como,Bergamo,16:05,18:00,Railjet,Mon-Fri,55,41
R00714,Como,Brescia,06:55,10:18,Italo,"Mon,Wed,Fri",143,86
R00715,Como,Brescia,12:20,16:00,Intercités,"Tue,Thu",75,51
R00718,Como,Milan,09:15,11:07,InterCity,Sat-Sun,36,25
R00721,Como,Turin,11:15,14:16,InterCity,Fri-Sun,72,54
R00727,Copenhagen,Gothenburg,06:50,11:04,RE,"Mon,Wed,Fri",53,39
R00732,Copenhagen,Hamburg,15:35,22:46,Intercités,"Mon,Wed,Fri",149,105
R00734,Copenhagen,Malmö,05:10,07:41,Thalys,Mon-Fri,99,73
R00735,Copenhagen,Malmö,16:40,20:28,RegioExpress,"Tue,Thu",42,33
R00738,Copenhagen,Odense,13:45,15:47,Eurostar,"Tue,Thu",97,59
R00745,Cork,Galway,07:50,13:30,RE,"Tue,Thu",71,54
R00749,Cork,Limerick,05:25,08:27,RegioExpress,"Tue,Thu",53,38
R00753,Cork,Reading,14:10,16:15,AVE,Mon-Fri,79,55
R00754,Cuenca,Alicante,12:50,15:29,RJX,"Mon,Wed,Fri",84,53
R00755,Cuenca,Alicante,13:20,14:56,AVE,Sat-Sun,46,31
R00765,Cuenca,Valencia,19:25,05:47 (+1d),Nightjet,Daily,358,187
R00767,Cádiz,Badajoz,19:45,22:31,RE,"Tue,Thu",38,30
R00770,Cádiz,Córdoba,12:00,15:46,RE,"Tue,Thu",57,47
R00774,Cádiz,Seville,19:35,22:03,Frecciarossa,Daily,85,58
R00775,Cádiz,Seville,10:35,12:35,Railjet,Sat-Sun,86,63
R00781,Córdoba,Granada,09:15,14:29,RE,Sat-Sun,63,51
R00782,Córdoba,Granada,10:10,11:56,TGV,Mon-Fri,76,48
R00784,Córdoba,Málaga,07:55,10:11,Eurostar,Fri-Sun,72,45
R00787,Córdoba,Seville,08:25,10:52,RJX,"Tue,Thu",86,56
R00788,Córdoba,Seville,14:35,16:17,InterCity,"Tue,Thu",36,26
R00790,Debrecen,Budapest,08:35,10:44,Italo,Sat-Sun,69,48
R00791,Debrecen,Budapest,05:50,09:58,InterCity,"Tue,Thu",109,78
R00793,Debrecen,Košice,09:45,12:25,Railjet,"Tue,Thu",91,64
R00794,Debrecen,Košice,21:35,08:59 (+1d),Nightjet,"Mon,Wed,Fri",336,211
R00796,Debrecen,Pécs,13:25,18:18,TER,Fri-Sun,57,44
R00797,Debrecen,Pécs,19:35,21:05,TGV,Sat-Sun,51,31
R00799,Debrecen,Szeged,15:50,17:44,InterCity,Fri-Sun,45,30
R00800,Debrecen,Szeged,07:35,10:23,Eurostar,"Tue,Thu",120,89
R00802,Derby,Cambridge,18:55,21:07,Frecciarossa,Mon-Fri,59,38
R00805,Derby,Leicester,12:55,15:23,TGV,Daily,84,54
R00809,Derby,Nottingham,15:00,16:48,Thalys,Daily,81,53
R00810,Derby,Oxford,10:05,13:10,IC,Mon-Fri,95,64
R00811,Derby,Oxford,12:20,15:15,Italo,Mon-Fri,127,85
R00813,Dijon,Annecy,13:15,15:35,Thalys,"Tue,Thu",62,42
R00814,Dijon,Annecy,07:25,10:15,Frecciarossa,Daily,96,60
